name,hotel_address,city,latitude,longitude
Mercure Hotel Amsterdam Centre Canal District,Noorderstraat 46 Amsterdam City Center 1017 TV Amsterdam Netherlands,Amsterdam,52.3611852,4.8936341
Mercure Paris Bastille Saint Antoine,64 Rue Crozatier 12th arr 75012 Paris France,Paris,48.849574,2.3798518
Novotel Paris Gare De Lyon,2 Rue Hector Malot 12th arr 75012 Paris France,Paris,48.8453785,2.3753036
H tel Saint Paul Rive Gauche,43 rue Monsieur le Prince 6th arr 75006 Paris France,Paris,48.8496819,2.3402806
Hotel Duminy Vendome,3 5 rue du Mont Thabor 1st arr 75001 Paris France,Paris,48.8654726,2.3292934
City Rooms,Daungasse 1 6 7 08 Josefstadt 1080 Vienna Austria,Vienna,48.2133296,16.3471399
Hotel Vittoria,Via Pietro Calvi 32 P Vittoria 20129 Milan Italy,Milan,45.463135,9.2102
Hilton Paris Opera,108 Rue Saint Lazare 8th arr 75008 Paris France,Paris,48.8756604,2.3252075
Austria Trend Hotel Europa Wien,K rntnerstra e 18 Eingang Neuer Markt 3 01 Innere Stadt 1010 Vienna Austria,Vienna,48.2062103,16.3710387
Corinthia Hotel London,Whitehall Place Westminster Borough London SW1A 2BD United Kingdom,London,51.5045583,-0.1262584
Hotel K nig von Ungarn,Schulerstra e 10 01 Innere Stadt 1010 Vienna Austria,Vienna,48.2082215,16.3751842
Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,London,51.5109945,-0.1863417
U232 Hotel,Comte d Urgell 232 Eixample 08036 Barcelona Spain,Barcelona,41.3895237,2.1490307
Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,London,51.4919588,-0.2200956
Pullman Barcelona Skipper,Avenida Litoral 10 Ciutat Vella 08005 Barcelona Spain,Barcelona,41.3860183,2.19473
NH London Kensington,202 220 Cromwell Road Kensington and Chelsea London SW5 0SW United Kingdom,London,51.4948507,-0.1945544
NH Collection Barcelona Constanza,D u i Mata 66 99 Les Corts 08029 Barcelona Spain,Barcelona,41.3885274,2.1360471
Catalonia Plaza Catalunya,Bergara 11 Eixample 08002 Barcelona Spain,Barcelona,41.3865289,2.1682919
Hotel Bellevue Wien,Althanstra e 5 09 Alsergrund 1090 Vienna Austria,Vienna,48.2264063,16.3600628
Hotel Le Six,14 Rue Stanislas 6th arr 75006 Paris France,Paris,48.8438352,2.3280708
Hotel 82 London,82 Gloucester Place Westminster Borough London W1U 6HN United Kingdom,London,51.5195857,-0.1584803
Hotel de Nell,7 9 rue du Conservatoire 9th arr 75009 Paris France,Paris,48.8732788,2.3466576
Hotel de Seze,16 rue de S ze 9th arr 75009 Paris France,Paris,48.8705741,2.3264194
Vincci Mae,Avenida Diagonal 596 Sarri St Gervasi 08021 Barcelona Spain,Barcelona,41.3933943,2.1461315
AC Hotel Victoria Suites a Marriott Lifestyle Hotel,Beltran i R zpide 7 9 Les Corts 08034 Barcelona Spain,Barcelona,41.3893478,2.1209755
Hotel Domizil,Schulerstra e 14 01 Innere Stadt 1010 Vienna Austria,Vienna,48.2080479,16.375612
Thistle Hyde Park,90 92 Lancaster Gate Westminster Borough London W2 3NR United Kingdom,London,51.5112451,-0.1808938
Catalonia Eixample 1864,Roger de Ll ria 60 Eixample 08009 Barcelona Spain,Barcelona,41.393599,2.1684151
Hotel Bristol A Luxury Collection Hotel,K rntner Ring 1 01 Innere Stadt 1015 Vienna Austria,Vienna,48.2024907,16.3702656
Hotel Seven One Seven,Prinsengracht 717 Amsterdam City Center 1017 JW Amsterdam Netherlands,Amsterdam,52.3648077,4.8853962
Courthouse Hotel Shoreditch,335 337 Old Street Hackney London EC1V 9LL United Kingdom,London,51.5273442,-0.0796152
Capri by Fraser Barcelona,Sancho de vila 32 34 Sant Mart 08018 Barcelona Spain,Barcelona,41.3976233,2.188975
The Nadler Kensington,25 Courtfield Gardens Kensington and Chelsea London SW5 0PG United Kingdom,London,51.4931086,-0.190208
Ohla Barcelona,Via Laietana 49 Ciutat Vella 08003 Barcelona Spain,Barcelona,41.3870479,2.174336
Hotel West End,7 rue Cl ment Marot 8th arr 75008 Paris France,Paris,48.8671391,2.3038447
Le Pavillon des Lettres,12 rue des Saussaies 8th arr 75008 Paris France,Paris,48.8713699,2.3181191
Sofitel Paris Baltimore Tour Eiffel,88 Bis Avenue Kl ber 16th arr 75016 Paris France,Paris,48.8663089,2.289609
H tel Jos phine by Happyculture,67 rue Blanche 9th arr 75009 Paris France,Paris,48.8823141,2.3316688
London Marriott Hotel County Hall,London County Hall Westminster Bridge Road Lambeth London SE1 7PB United Kingdom,London,51.5016102,-0.1191545
The Tower A Guoman Hotel,St Katherines Way Tower Hamlets London E1W 1LD United Kingdom,London,51.5064721,-0.0716893
Shangri La Hotel at The Shard London,31 St Thomas Street Southwark London SE1 9QU United Kingdom,London,51.5044972,-0.0855562
Milan Suite Hotel,Via Varesina 124 Certosa 20156 Milan Italy,Milan,45.5000245,9.1428722
Hollmann Beletage Design Boutique,K llnerhofgasse 6 01 Innere Stadt 1010 Vienna Austria,Vienna,48.2105156,16.3760717
Hotel Omm,Rossell 265 Eixample 08008 Barcelona Spain,Barcelona,41.3962468,2.1609551
Radisson Blu Style Hotel Vienna,Herrengasse 12 01 Innere Stadt 1010 Vienna Austria,Vienna,48.2101211,16.3655537
The Grosvenor,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,London,51.4956657,-0.1452793
Park Hyatt Paris Vendome,5 rue de la Paix 2nd arr 75002 Paris France,Paris,48.8688155,2.3305236
Milan Marriott Hotel,Via Washington 66 Fiera Milano City 20146 Milan Italy,Milan,45.4611287,9.1542675
Colombia,Via Roberto Lepetit 15 Central Station 20124 Milan Italy,Milan,45.4829817,9.2041911
NH Collection Amsterdam Barbizon Palace,Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,Amsterdam,52.3764175,4.9002201
The Belgrave Hotel,80 86 Belgrave Road Westminster Borough London SW1V 2BJ United Kingdom,London,51.4901051,-0.1381355
XO Hotel,25 Rue Theodore de Banville 17th arr 75017 Paris France,Paris,48.8827492,2.2982782
Austria Trend Hotel Lassalle Wien,Engerthstra e 173 175 02 Leopoldstadt 1020 Vienna Austria,Vienna,48.2273013,16.4001791
Le Littr ,9 Rue Littr 6th arr 75006 Paris France,Paris,48.8454447,2.3242814
Doubletree by Hilton London Kensington,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,London,51.4925138,-0.1787917
Egerton House,17 19 Egerton Terrace Knightsbridge Kensington and Chelsea London SW3 2BX United Kingdom,London,51.4968406,-0.1675498
Room Mate Aitana,IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,Amsterdam,52.3846059,4.8941866
UNA Hotel Century,Via Fabio Filzi 25 B Central Station 20124 Milan Italy,Milan,45.4841371,9.2001623
Palazzo Parigi Hotel Grand Spa Milano,Corso Di Porta Nuova 1 Milan City Center 20121 Milan Italy,Milan,45.473348,9.1910733
The Level at Melia Barcelona Sky,Lope de Vega 141 Sant Mart 08005 Barcelona Spain,Barcelona,41.406146,2.2008636
Hotel Mercure Wien City,Hollandstra e 3 02 Leopoldstadt 1020 Vienna Austria,Vienna,48.2152663,16.376103
Simm s Hotel,Simmeringer Hauptstra e 55 57 11 Simmering 1110 Vienna Austria,Vienna,48.1790835,16.4116997
Victoires Opera,56 rue de Montorgueil 2nd arr 75002 Paris France,Paris,48.8648997,2.3469433
Hotel Ciutadella Barcelona,Avenida Marqu s de l Argentera 4 Ciutat Vella 08003 Barcelona Spain,Barcelona,41.3837583,2.1846933
Hotel SB Icaria Barcelona,Avinguda Icaria 195 Sant Mart 08005 Barcelona Spain,Barcelona,41.3935591,2.1993915
The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,London,51.5142184,-0.1809032
The Westin Paris Vend me,3 rue de Castiglione 1st arr 75001 Paris France,Paris,48.8657394,2.3274415
Waldorf Madeleine,12 boulevard Malesherbes 8th arr 75008 Paris France,Paris,48.8715828,2.3224853
Hotel Milano Scala,Via dell Orso 7 Milan City Center 20121 Milan Italy,Milan,45.4689376,9.1868891
NH Amsterdam Noord,Distelkade 21 Amsterdam Noord 1031 XP Amsterdam Netherlands,Amsterdam,52.3923684,4.9110442
Acad mie H tel Saint Germain,32 rue des Saints P res 7th arr 75007 Paris France,Paris,48.855263,2.3305901
Novotel London Excel,7 Western Gateway Royal Victoria Dock Newham London E16 1AA United Kingdom,London,51.5077198,0.0229805
Old Ship Inn Hackney,2 Sylvester Path Hackney London E8 1EN United Kingdom,London,51.5458476,-0.0554113
L Edmond H tel,22 avenue de Villiers 17th arr 75017 Paris France,Paris,48.8823111,2.3132374
NH Wien City,Mariahilfer Stra e 32 34 07 Neubau 1070 Vienna Austria,Vienna,48.2002872,16.3547746
Novotel Suites Paris Nord 18 me,1 Impasse Marteau 18th arr 75018 Paris France,Paris,48.9015941,2.3597783
Nolinski Paris,16 Avenue de l Opera 1st arr 75001 Paris France,Paris,48.8654874,2.3348924
Holiday Inn London Regent s Park,Carburton Street Westminster Borough London W1W 5EE United Kingdom,London,51.5222472,-0.1426128
Crowne Plaza London Kings Cross,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,London,51.5263854,-0.1136042
Jaz Amsterdam,De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,Amsterdam,52.314371,4.9388064
Hotel 55,Hanger Lane Ealing London W5 3HL United Kingdom,London,51.5213303,-0.2915052
Mercure Paris Terminus Nord,21 rue de Dunkerque 10th arr 75010 Paris France,Paris,48.8794843,2.3556545
The Stafford London,St James s Place Westminster Borough London SW1A 1NJ United Kingdom,London,51.5059087,-0.1403795
Threadneedles Autograph Collection,5 Threadneedle Street City of London London EC2R 8AY United Kingdom,London,51.5140208,-0.0854919
Blakes Hotel,33 Roland Gardens Kensington and Chelsea London SW7 3PF United Kingdom,London,51.4892447,-0.1803196
Jumeirah Carlton Tower,Cadogan Place Kensington and Chelsea London SW1X 9PY United Kingdom,London,51.4973568,-0.1576728
Novotel Paris 14 Porte d Orl ans,15 Boulevard Romain Rolland 14th arr 75014 Paris France,Paris,48.8196885,2.3263505
Le Lavoisier,21 rue Lavoisier 8th arr 75008 Paris France,Paris,48.8737702,2.3201063
Villa d Estr es,17 rue g t le coeur 6th arr 75006 Paris France,Paris,48.8535089,2.3425787
Radisson Blu Portman Hotel London,22 Portman Square Westminster Borough London W1H 7BG United Kingdom,London,51.5161911,-0.1579487
Hilton Amsterdam,Apollolaan 138 Oud Zuid 1077 BG Amsterdam Netherlands,Amsterdam,52.351381,4.872723
Le Marquis Eiffel,15 Rue Dupleix 15th arr 75015 Paris France,Paris,48.8516619,2.2979395
Covent Garden Hotel,10 Monmouth Street Camden London WC2H 9HB United Kingdom,London,51.5145986,-0.1270336
Novotel Amsterdam City,Europaboulevard 10 Zuideramstel 1083 AD Amsterdam Netherlands,Amsterdam,52.333803,4.8884708
Royal Amsterdam Hotel,Rembrandtplein 44 Amsterdam City Center 1017 CV Amsterdam Netherlands,Amsterdam,52.3657281,4.8972883
Rubens At The Palace,39 Buckingham Palace Road Westminster Borough London SW1W 0PS United Kingdom,London,51.4981471,-0.1436492
Hotel Advance,Sep lveda 180 Eixample 08011 Barcelona Spain,Barcelona,NA,NA
Eurostars Monumental,Consell de Cent 498 500 Eixample 08013 Barcelona Spain,Barcelona,41.4006653,2.1787089
Best Western Plus Hotel Felice Casati,Via Felice Casati 18 Central Station 20124 Milan Italy,Milan,45.4787357,9.2041131
NH Amsterdam Caransa,Rembrandtplein 19 Amsterdam City Center 1017 CT Amsterdam Netherlands,Amsterdam,52.3664077,4.8969091
Lyric H tel Paris,2 rue de Gramont 2nd arr 75002 Paris France,Paris,48.8690126,2.3368708
Hotel Barcelona Catedral,Capellans 4 Ciutat Vella 08002 Barcelona Spain,Barcelona,41.384829,2.1751277
Apollo Hotel Amsterdam,Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands,Amsterdam,52.3486098,4.8844292
Best Western Premier Kapital Op ra,34 rue de Moscou 8th arr 75008 Paris France,Paris,48.8814425,2.3235592
Shaftesbury Premier London Paddington,55 61 Westbourne Terrace Westminster Borough London W2 3UY United Kingdom,London,51.5153672,-0.1783271
Excelsior Hotel Gallia Luxury Collection Hotel,Piazza Duca D Aosta 9 Central Station 20124 Milan Italy,Milan,45.4857027,9.2020127
London Marriott Maida Vale,Plaza Parade Camden London NW6 5RP United Kingdom,London,51.5357597,-0.1902591
Enterprise Hotel Design Boutique,Corso Sempione 91 Fiera Milano City 20149 Milan Italy,Milan,45.4867005,9.1575137
Hotel Montalembert,3 Rue de Montalembert 7th arr 75007 Paris France,Paris,48.8567042,2.3277805
Hotel Le Saint Gregoire,43 Rue De l Abb Gr goire 6th arr 75006 Paris France,Paris,48.8471891,2.3260138
Radisson Blu Edwardian Berkshire,350 Oxford Street Westminster Borough London W1C 1BY United Kingdom,London,51.5146025,-0.1481978
Best Western Hotel St George,Viale Tunisia 9 Central Station 20124 Milan Italy,Milan,45.4770906,9.2054208
Hotel Rekord,Muntaner 352 Sarri St Gervasi 08021 Barcelona Spain,Barcelona,41.3985449,2.1438237
Arenas Atiram Hotels,Capitan Arenas 20 Les Corts 08034 Barcelona Spain,Barcelona,41.3904305,2.1262314
TownHouse 12,Piazza Gerusalemme 12 Sempione 20154 Milan Italy,Milan,45.4844028,9.1673528
Holiday Inn London Wembley,Empire Way Wembley Brent London HA9 8DS United Kingdom,London,51.5590955,-0.284704
The Chess Hotel,6 rue du Helder 9th arr 75009 Paris France,Paris,48.8716017,2.3349768
The May Fair Hotel,Stratton Street Mayfair Westminster Borough London W1J 8LT United Kingdom,London,51.5078943,-0.1436707
The Drayton Court Hotel,2 The Avenue Ealing London W13 8PH United Kingdom,London,51.5141842,-0.3192925
Best Western Le 18 Paris,51 rue Letort 18th arr 75018 Paris France,Paris,48.8966167,2.3434843
Hotel Spa Villa Olimpica Suites,Pallars 121 125 Sant Mart 08018 Barcelona Spain,Barcelona,41.3971434,2.1921947
Novotel Paris Centre Gare Montparnasse,17 Rue Du Cotentin 15th arr 75015 Paris France,Paris,48.838484,2.3150904
Marlin Waterloo,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,London,51.4990953,-0.1132136
Leonardo Hotel Vienna,Matrosengasse 6 8 06 Mariahilf 1060 Vienna Austria,Vienna,48.1945297,16.340327
Rochester Champs Elysees,92 Rue La Boetie 8th arr 75008 Paris France,Paris,48.8724945,2.3091549
Megaro Hotel,Belgrove Street Camden London WC1H 8AB United Kingdom,London,51.5294411,-0.1233745
Radisson Blu Edwardian Sussex,19 25 Granville Place Marble Arch Westminster Borough London W1H 6PA United Kingdom,London,51.5144381,-0.1558337
Terrass H tel Montmartre by MH,12 14 Rue Joseph De Maistre 18th arr 75018 Paris France,Paris,48.8865626,2.3329648
Golden Tulip Washington Opera,50 rue de Richelieu 1st arr 75001 Paris France,Paris,48.866242,2.3373169
Hotel Ares Eiffel,7 rue du G n ral de Larminat 15th arr 75015 Paris France,Paris,48.8503276,2.2982022
Hotel Bagu s,La Rambla 105 Ciutat Vella 08002 Barcelona Spain,Barcelona,41.3827894,2.1715636
Grange White Hall Hotel,2 5 Montague Street Bloomsbury Camden London WC1B 5BU United Kingdom,London,51.5203469,-0.1260893
Henley House Hotel,30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,London,51.4922348,-0.1914229
Hotel Okura Amsterdam,Ferdinand Bolstraat 333 Oud Zuid 1072 LH Amsterdam Netherlands,Amsterdam,52.3487635,4.8938829
H tel Raphael,17 Avenue Kl ber 16th arr 75016 Paris France,Paris,48.8713239,2.2937849
Mercure London Paddington Hotel,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,London,51.5161139,-0.1749521
Radisson Blu Edwardian New Providence Wharf,5 Fairmont Avenue Canary Wharf Tower Hamlets London E14 9JB United Kingdom,London,51.5065578,-0.004514
Eccleston Square Hotel,37 Eccleston Square Westminster Borough London SW1V 1PB United Kingdom,London,51.4911924,-0.1449474
Hotel Wandl,Petersplatz 9 01 Innere Stadt 1010 Vienna Austria,Vienna,48.2097026,16.3703902
Holiday Inn London Bloomsbury,Coram Street Camden London WC1N 1HT United Kingdom,London,51.5241248,-0.1258066
Hotel Elys es Bassano,24 rue Bassano 16th arr 75016 Paris France,Paris,48.8689307,2.2974503
Catalonia Catedral,Arcs 10 Ciutat Vella 08002 Barcelona Spain,Barcelona,41.3846637,2.1740902
TWO Hotel Barcelona by Axel 4 Sup Adults Only,Calabria 90 92 Eixample 08015 Barcelona Spain,Barcelona,41.37913,2.1561186
Hotel Le Squara,3 rue Lepic 18th arr 75018 Paris France,Paris,48.884165,2.3328261
Millennium Gloucester Hotel London,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom,London,51.4935083,-0.1834346
Best Western Plus Seraphine Hammersmith Hotel,84 King Street Hammersmith and Fulham London W6 0QW United Kingdom,London,51.4926269,-0.2288598
Splendide Royal Paris,18 Rue du Cirque 8th arr 75008 Paris France,Paris,48.8709627,2.3154141
Hilton London Green Park,Half Moon Street Westminster Borough London W1J 7BN United Kingdom,London,51.5064534,-0.1456146
H tel Amastan Paris,34 rue Jean Mermoz 8th arr 75008 Paris France,Paris,48.8716831,2.3123759
Le Burgundy Paris,6 8 Rue Duphot 1st arr 75001 Paris France,Paris,48.8680055,2.3260075
Hotel Dupond Smith,2 rue des Guillemites 4th arr 75004 Paris France,Paris,48.857898,2.3571978
Legend Saint Germain by Elegancia,151 bis Rue de Rennes 6th arr 75006 Paris France,Paris,48.8453774,2.3256427
Hotel Monsieur,62 Rue Des Mathurins 8th arr 75008 Paris France,Paris,48.8735135,2.3217457
Catalonia Park Putxet,Putget 68 Sarri St Gervasi 08023 Barcelona Spain,Barcelona,41.4072812,2.1443116
Georgian House Hotel,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom,London,51.490724,-0.143868
Le Relais Madeleine,11bis Rue Godot de Mauroy 9th arr 75009 Paris France,Paris,48.870961,2.3267678
Cram,Aribau 54 Eixample 08011 Barcelona Spain,Barcelona,41.3880549,2.1599602
Hotel Galileo,Corso Europa 9 Milan City Center 20122 Milan Italy,Milan,45.4642651,9.1960569
Hotel OFF Paris Seine,86 Quai D Austerlitz 13th arr 75013 Paris France,Paris,48.8427364,2.3672171
Park Plaza London Waterloo,6 Hercules Road Lambeth London SE1 7DP United Kingdom,London,51.4982412,-0.1134715
Evenia Rossello,Rossello 191 Eixample 08036 Barcelona Spain,Barcelona,41.3920254,2.1554675
H tel California Champs Elys es,16 rue de Berri 8th arr 75008 Paris France,Paris,48.8726335,2.3048084
Hotel des Tuileries Relais du Silence,10 rue Saint Hyacinthe 1st arr 75001 Paris France,Paris,48.8661705,2.331561
Club Quarters Hotel Lincoln s Inn Fields,61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,London,51.5160988,-0.1181749
Ayre Hotel Caspe,Caspe 103 Eixample 08013 Barcelona Spain,Barcelona,41.3961021,2.1794688
Ohla Eixample,C rsega 289 Eixample 08008 Barcelona Spain,Barcelona,41.3944574,2.1564353
Best Western Hotel Ascot,Via Lentasio 3 Milan City Center 20122 Milan Italy,Milan,45.4580137,9.1913676
Crowne Plaza London Ealing,Western Avenue Ealing London W5 1HG United Kingdom,London,51.5403942,-0.3697581
Hotel Le 10 BIS,10 Bis rue du D barcad re 17th arr 75017 Paris France,Paris,48.8780363,2.2864907
Hotel Esther a,Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands,Amsterdam,52.3705447,4.8886439
Hotel le Lapin Blanc,41 boulevard Saint Michel 5th arr 75005 Paris France,Paris,48.8491801,2.3423357
Grange Buckingham Hotel,39 40 Bedford Place Bloomsbury Camden London WC1B 5JT United Kingdom,London,51.5196124,-0.1239628
Clayton Crown Hotel London,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,London,51.5561548,-0.2141824
Novotel London Waterloo,113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,London,51.4948465,-0.1187481
H tel Bedford,17 rue de l Arcade 8th arr 75008 Paris France,Paris,48.8720593,2.3236802
ME London by Melia,336 337 Strand London Westminster Borough London WC2R 1HA United Kingdom,London,51.511879,-0.118552
Mercure Paris Bercy Biblioth que,6 Boulevard Vincent Auriol 13th arr 75013 Paris France,Paris,48.8370334,2.372322
H tel Keppler,10 Rue Kepler 16th arr 75016 Paris France,Paris,48.8699103,2.2973386
ARCOTEL Wimberger,Neubaug rtel 34 36 07 Neubau 1070 Vienna Austria,Vienna,48.2006001,16.3386333
Hotel Front Maritim,Paseo Garc a I Faria 69 71 Sant Mart 08019 Barcelona Spain,Barcelona,41.4037972,2.213767
Best Western Atlantic Hotel,Via Napo Torriani 24 Central Station 20124 Milan Italy,Milan,45.4830211,9.2033246
Holiday Inn Paris Gare de l Est,5 rue du 8 Mai 1945 10th arr 75010 Paris France,Paris,48.8758981,2.3590504
Ace Hotel London Shoreditch,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,London,51.5254162,-0.0772849
Best Western The Boltons Hotel London Kensington,19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,London,51.4907493,-0.1934627
H tel Beauchamps,24 rue de Ponthieu 8th arr 75008 Paris France,Paris,48.87096,2.3091617
The Chamberlain,130 135 Minories City of London London EC3N 1NU United Kingdom,London,51.5122457,-0.0757326
H tel Vernet,25 Rue Vernet 8th arr 75008 Paris France,Paris,48.871859,2.2978177
IH Hotels Milano Watt 13,Via Giacomo Watt 13 Famagosta 20143 Milan Italy,Milan,45.443791,9.152947
Rydges Kensington Hotel,61 Gloucester Road Kensington and Chelsea London SW7 4PE United Kingdom,London,51.4956883,-0.1827878
San Domenico House,29 31 Draycott Place Kensington and Chelsea London SW3 2SH United Kingdom,London,51.4917798,-0.1616049
Grange Clarendon Hotel,34 37 Bedford Place Bloomsbury Camden London WC1B 5JR United Kingdom,London,51.5197933,-0.1241844
Relais Saint Jacques,3 Rue Abb De L Ep e 5th arr 75005 Paris France,Paris,48.8430523,2.3422519
H tel Da Vinci Spa,25 rue des Saints P res 6th arr 75006 Paris France,Paris,48.8565778,2.3319767
Arioso,7 rue d Argenson 8th arr 75008 Paris France,Paris,48.8746066,2.3167195
Park Grand Paddington Court,27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,London,51.5135555,-0.180002
Royal Garden Champs Elysees,218 220 rue du Faubourg St Honor 8th arr 75008 Paris France,Paris,48.8757155,2.3038781
Hilton London Hyde Park,129 Bayswater Road London W2 4RJ United Kingdom,London,51.51046,-0.1875844
Best Western Hotel Pension Arenberg Wien Zentrum,Stubenring 2 01 Innere Stadt 1010 Vienna Austria,Vienna,48.2107358,16.382147
Hilton London Angel Islington,53 Upper Street Islington London N1 0UY United Kingdom,London,51.5360906,-0.1048176
H tel des Ducs D Anjou,1 Rue Sainte Opportune 1st arr 75001 Paris France,Paris,48.8598229,2.347111
Holiday Inn Paris Op ra Grands Boulevards,30 32 Boulevard Poissonni re 9th arr 75009 Paris France,Paris,48.8715469,2.3439622
Dikker en Thijs Fenice Hotel,Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,Amsterdam,52.364971,4.8839827
Les Jardins De La Villa Spa,5 Rue Belidor 17th arr 75017 Paris France,Paris,48.8801757,2.2859534
LHP Hotel Napoleon,Via Ozanam 12 Citt Studi 20129 Milan Italy,Milan,45.4802415,9.2131919
Paris Marriott Champs Elysees Hotel,70 avenue des Champs Elysees 8th arr 75008 Paris France,Paris,48.8711365,2.3050482
Blakemore Hyde Park,30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,London,51.5129736,-0.1837431
Le Grey Hotel,12 rue de Parme 9th arr 75009 Paris France,Paris,48.881407,2.3274204
